0.1,331.4907
0.2,327.8574
0.3,319.6756
0.4,308.2299
0.5,293.7407
0.6,276.3138
0.7,256.1352
0.8,233.2961
0.9,207.9689
1,180.2321
1.1,150.2457
1.2,131.0864
1.3,131.4369
1.4,131.4425
1.5,131.4425
1.6,131.4425
1.7,131.4425
1.8,131.4425
1.9,131.4425
2,131.4425
2.1,131.4425
2.2,131.4425
2.3,131.4425
2.4,131.4425
2.5,131.4425
2.6,131.4425
2.7,131.4425
2.8,131.4425
2.9,131.4425
3,131.4425
3.1,131.4425
3.2,131.4425
3.3,131.4425
3.4,131.4425
3.5,131.4425
3.6,131.4425
3.7,131.4425
3.8,131.4425
3.9,131.4425
4,131.4425
4.1,131.4425
4.2,131.4425
4.3,131.4425
4.4,131.4425
4.5,131.4425
4.6,131.4425
4.7,131.4425
4.8,131.4425
4.9,131.4425
5,131.4425
5.1,131.4425
5.2,131.4425
5.3,131.4425
5.4,131.4425
5.5,131.4425
5.6,131.4425
5.7,131.4425
5.8,131.4425
5.9,131.4425
6,131.4425
6.1,131.4425
6.2,131.4425
6.3,131.4425
6.4,131.4425
6.5,131.4425
6.6,131.4425
6.7,131.4425
6.8,135.73
6.9,131.5095
7,131.443
