0.1,1.387775
0.2,7.638003
0.3,16.30026
0.4,30.07156
0.5,43.88989
0.6,63.12811
0.7,80.40038
0.8,103.489
0.9,122.8942
1,148.569
1.1,169.0915
1.2,176.8435
1.3,160.0372
1.4,144.8282
1.5,131.0645
1.6,118.6089
1.7,107.3371
1.8,97.13636
1.9,87.90511
2,79.55111
2.1,71.99104
2.2,65.14944
2.3,58.95801
2.4,53.35498
2.5,48.28445
2.6,43.69577
2.7,39.54318
2.8,35.78523
2.9,32.38441
3,29.30679
3.1,26.52164
3.2,24.00118
3.3,21.72024
3.4,19.65607
3.5,17.78807
3.6,16.0976
3.7,14.56777
3.8,13.18333
3.9,11.93047
4,10.79667
4.1,9.770613
4.2,8.842072
4.3,8.001771
4.4,7.24133
4.5,6.553154
4.6,5.93038
4.7,5.366791
4.8,4.856763
4.9,4.395204
5,3.97751
5.1,3.599512
5.2,3.257435
5.3,2.947867
5.4,2.667718
5.5,2.414193
5.6,2.184762
5.7,1.977135
5.8,1.78924
5.9,1.619201
6,1.465322
6.1,1.326066
6.2,1.200044
6.3,1.085999
6.4,0.982792
6.5,0.8893933
6.6,0.8048704
6.7,0.7283804
6.8,0.6591595
6.9,0.5965168
7,0.5398274
